management,monitor,target,people,lemp_firm,export,competition,ownership,mne_country,mne_f,mne_d,degree_m,degree_nm,country,competition2004,year,sic,lb_employindex,pppgdp,,              storage  display     value
3.5,3.6,3.6,3.5,5.991465,,,,,0,0,,,United States,3,2004,382,0,11867.75,,variable name   type   format      label      variable label
3.166667,3.8,2.6,2.5,6.39693,,2,Dispersed Shareholders,,0,0,100,75,United States,,2006,382,0,13398.93,,----------------------------------------------------------------------------------------------------------------------
3,2.8,3.6,3,7.600903,70,4,Dispersed Shareholders,US,0,1,100,5,United States,,2006,382,0,14119.05,,management      float  %9.0g                * Average of all management questions
2.411765,2.75,2.4,2.666667,8.039157,,,,,0,0,,,United States,,2002,308,,10642.3,,monitor         float  %9.0g                  Average of perf1 to perf5
4.444445,4.6,4.4,4.333333,5.241747,,,,,0,0,,,United States,3,2004,281,0,11867.75,,target          float  %9.0g                  Average of perf6 to perf10
4.666667,4.8,4.4,4.833333,5.241747,,,,,0,0,,,United States,3,2004,281,0,11867.75,,people          float  %9.0g                  Average of talent1 to talent6
4.388889,4.6,4.6,4.5,7.409742,,,,,0,0,,,United States,3,2004,366,0,11867.75,,lemp_firm       float  %9.0g                  Log of 'No. of firm employees as declared in interview'
4.277778,4.8,4.2,3.833333,7.409742,,,,,0,0,,,United States,3,2004,366,0,11867.75,,export          double %10.0g               * % of production exported
4.833333,4.8,4.8,4.833333,6.907755,,,,,0,0,,,United States,3,2004,357,0,11867.75,,competition     byte   %12.0g               * No. of competitors
3.111111,3.8,3,2.833333,5.164786,,,,,0,0,,,United States,3,2004,382,0,11867.75,,ownership       str33  %33s                 * Who owns the firm?
3.111111,3.8,3,2.666667,5.164786,,,,,0,0,,,United States,3,2004,382,0,11867.75,,mne_country     str19  %19s                 * Country of origin of multinational (best guess)
3.111111,3.8,3.4,2.333333,7.901007,,10,Other,US,0,1,50,10,United States,,2006,382,0,14061.8,,mne_f           byte   %9.0g                  = 1 if foreign MNE
2.777778,4,2,2.5,6.476973,,,,,0,0,,,United States,3,2004,243,0,11867.75,,mne_d           byte   %9.0g                  = 1 if domestic MNE
3.117647,3.4,3.4,2.6,6.684612,,5,Dispersed Shareholders,,0,0,20,0,United States,,2007,243,0,14061.8,,degree_m        byte   %8.0g                * % of managers with a college degree
2.777778,2.6,2.4,3,5.78996,,,,,0,0,,,United States,3,2004,283,0,11867.75,,degree_nm       float  %8.0g                * % of non-managers with a college degree
2.888889,2.4,3.2,2.666667,5.010635,,,,,0,0,,,United States,3,2004,352,0,11867.75,,country         str19  %19s                   Country in which plant is located
2.888889,3.4,2.4,2.5,5.966147,,3,Dispersed Shareholders,US,0,1,100,50,United States,,2006,352,0,13398.93,,"competition2004 byte   %9.0g                  1=No competitors, 2=A few competitors, 3=Many competitors"
3.5,3.8,3.8,3.166667,4.60517,10,5,Dispersed Shareholders,,0,0,75,10,United States,,2008,352,0,14624.18,,year            int    %9.0g                * SENSITIVE: Accts: Year of Accounts Data
3.888889,4.2,4.2,3.666667,8.517193,,,,,0,0,,,United States,2,2004,222,0,11867.75,,sic             int    %8.0g                * Three digit US SIC 1987 code (999 is missing)
3.588235,4.4,3.4,3,8.517193,,10,Dispersed Shareholders,US,0,1,20,20,United States,,2007,222,0,14061.8,,lb_employindex  byte   %10.0g               * WB: Rigidity of employment index (0-100)
2.833333,3.2,2.8,3.166667,5.075174,,10,Dispersed Shareholders,US,0,1,80,50,United States,,2006,308,0,13398.93,,pppgdp          float  %9.0g                * IMF: GDP based on PPP valuation of cty GDP (Current international $ -
3.111111,3.4,2.2,4.333333,5.857933,,6,Dispersed Shareholders,US,0,1,50,17,United States,,2006,308,0,13398.93,,                                                Billions)
3.5,3.8,3.4,3,5.298317,,,Dispersed Shareholders,US,0,1,,,United States,1,2004,281,0,11867.75,,
3.055556,3.8,2.6,2.833333,6.214608,,2,Dispersed Shareholders,US,0,1,100,10,United States,,2006,281,0,13398.93,,
3,3,3.2,2.666667,8.006368,10,0,Dispersed Shareholders,US,0,1,98,1,United States,,2008,281,0,14119.05,,
3.666667,3.8,3.4,3.666667,7.313221,,,,,0,0,,,United States,3,2004,362,0,11867.75,,
3.722222,4,3.4,3.666667,5.703783,,,,,0,0,,,United States,2,2004,384,0,11867.75,,
3.333333,3.6,3.6,3,5.857933,,,,,0,0,,,United States,3,2004,243,0,11867.75,,
2.944444,3.2,2.4,3.666667,7.937375,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,327,0,11867.75,,
2.944444,3.2,2.4,3.666667,7.937375,,,Dispersed Shareholders,US,0,1,,,United States,2,2004,327,0,11867.75,,
2.944444,3.2,2.4,3.666667,5.521461,,,Dispersed Shareholders,US,0,1,95,10,United States,,2004,327,0,11867.75,,
3.166667,3.6,2.8,2.833333,7.824046,0,4,Dispersed Shareholders,US,0,1,10,5,United States,,2008,327,0,14119.05,,
4.666667,4.8,4.6,4.833333,7.600903,,,,,0,0,,,United States,2,2004,367,0,11867.75,,
4.333333,4.8,4.2,4,6.907755,,,,,0,0,,,United States,2,2004,382,0,11867.75,,
3.944444,3.6,4,4,6.907755,,,,,0,0,,,United States,2,2004,382,0,11867.75,,
4.111111,4.4,4.4,3.5,6.39693,,,,,0,0,,,United States,2,2004,366,0,11867.75,,
3.833333,4,4,3.333333,7.438384,,,,,0,0,,,United States,2,2004,379,0,11867.75,,
3.666667,4.2,3.4,3.333333,5.298317,,,,,0,0,,,United States,3,2004,384,0,11867.75,,
3.055556,2.8,3.2,3,6.907755,,8,Dispersed Shareholders,US,0,1,100,,United States,,2006,384,0,13398.93,,
2.833333,2.6,2.4,3,4.672829,,,,,0,0,,,United States,3,2004,352,0,11867.75,,
3.777778,4.2,3.2,3.5,6.907755,,,,,0,0,,,United States,2,2004,355,0,11867.75,,
3.888889,4.6,3,3.666667,7.495542,,10,Dispersed Shareholders,,0,0,75,10,United States,,2006,355,0,13398.93,,
4.722222,5,4.4,5,7.081708,80,6,Dispersed Shareholders,,0,0,85,55,United States,,2008,355,0,14119.05,,
3.5,3.6,3.6,3.166667,5.442418,,,,,0,0,,,United States,3,2004,364,0,11867.75,,
3.555556,4,3.6,3.166667,6.620073,,10,Dispersed Shareholders,,0,0,90,90,United States,,2006,364,0,13398.93,,
3.944444,4.6,3.8,3.833333,5.347107,,,,,0,0,,,United States,2,2004,367,0,11867.75,,
