"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean"
"2022-07-04","2022-12-09","6,107","3,101","54.6%","10.2%","27.9%","38.1%","20.1%","15.4%","23.0%","38.3%","3.5%","100.0%","-0.2%","2.9","2,987","0.1"
"2022-01-17","2022-06-24","6,012","3,741","45.7%","4.9%","13.0%","17.8%","18.5%","19.8%","41.0%","60.8%","2.8%","100.0%","-43.0%","2.2","3,586","0.1"
"2021-07-19","2021-12-14","6,060","3,834","51.6%","7.0%","17.4%","24.3%","18.4%","16.2%","40.0%","56.2%","1.1%","100.0%","-31.8%","2.3","3,891","0.1"
"2021-01-18","2021-06-25","6,043","3,518","56.2%","5.5%","14.6%","20.1%","18.8%","14.7%","45.6%","60.3%","0.8%","100.0%","-40.3%","2.2","3,403","0.1"
"2020-07-20","2020-12-22","6,181","3,517","65.1%","6.4%","11.7%","18.1%","16.8%","12.7%","51.1%","63.8%","1.4%","100.0%","-45.8%","2.1","3,464","0.1"
"2020-01-16","2020-06-18","6,024","3,663","61.9%","5.6%","10.6%","16.2%","10.5%","14.1%","57.8%","71.9%","1.4%","100.0%","-55.7%","1.9","3,610","0.1"
"2019-07-17","2019-12-18","6,178","3,774","66.1%","4.5%","8.9%","13.4%","9.6%","15.9%","59.9%","75.8%","1.2%","100.0%","-62.4%","1.8","3,726","0.1"
"2019-01-21","2019-06-20","6,084","3,724","65.1%","5.5%","21.4%","26.9%","19.0%","21.6%","31.6%","53.2%","0.9%","100.0%","-26.3%","2.5","3,669","0.1"
"2018-07-03","2018-12-20","7,033","3,946","58.4%","6.9%","30.0%","36.9%","20.5%","20.5%","21.0%","41.5%","1.1%","100.0%","-4.6%","2.8","3,846","0.1"
"2018-01-03","2018-06-21","12,092","7,225","60.1%","6.3%","29.4%","35.7%","21.1%","21.6%","20.6%","42.2%","1.0%","100.0%","-6.6%","2.8","7,142","0.1"
"2017-07-03","2017-12-19","12,201","8,750","58.8%","7.7%","31.9%","39.6%","22.2%","19.0%","16.7%","35.7%","2.5%","100.0%","3.9%","3.0","8,500","0.1"
"2017-01-03","2017-06-22","12,181","7,380","69.7%","4.8%","23.6%","28.5%","21.3%","23.5%","25.6%","49.1%","1.1%","100.0%","-20.7%","2.6","7,302","0.1"
"2016-07-04","2016-12-22","12,074","7,167","71.2%","4.0%","20.3%","24.3%","24.7%","23.1%","26.3%","49.3%","1.7%","100.0%","-25.0%","2.5","7,046","0.1"
"2016-01-04","2016-06-23","12,088","7,411","68.0%","4.0%","21.1%","25.1%","22.5%","21.9%","29.3%","51.2%","1.2%","100.0%","-26.1%","2.5","7,325","0.1"
"2015-07-06","2015-12-21","12,117","7,339","65.6%","4.3%","19.9%","24.2%","27.3%","22.6%","24.8%","47.4%","1.0%","100.0%","-23.2%","2.6","7,265","0.1"
"2015-01-02","2015-06-25","12,349","7,542","66.7%","5.9%","21.2%","27.1%","25.7%","21.2%","24.8%","45.9%","1.2%","100.0%","-18.8%","2.6","7,447","0.1"
"2014-07-07","2014-12-22","12,147","7,483","66.1%","4.3%","22.7%","27.0%","24.6%","21.8%","25.2%","47.0%","1.3%","100.0%","-20.0%","2.6","7,381","0.1"
"2014-01-02","2014-06-19","12,255","7,070","67.0%","3.8%","23.8%","27.6%","27.2%","25.4%","18.4%","43.7%","1.5%","100.0%","-16.1%","2.7","6,956","0.1"
"2013-07-02","2013-12-19","12,154","7,323","66.8%","3.1%","21.3%","24.5%","24.9%","26.9%","22.4%","49.3%","1.3%","100.0%","-24.9%","2.6","7,224","0.1"
"2013-01-02","2013-06-19","13,232","7,974","66.7%","3.0%","23.0%","26.0%","31.6%","25.1%","15.7%","40.9%","1.5%","100.0%","-14.8%","2.7","7,852","0.1"
