"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2022-10-10","2022-10-19","1,093","516","61.5%","7.4%","28.9%","36.2%","20.2%","21.5%","18.2%","39.6%","3.9%","100.0%","-3.4%","2.9","494","0.1",""
"2022-04-19","2022-04-22","1,001","594","47.6%","3.6%","19.3%","22.9%","18.9%","22.1%","31.7%","53.9%","4.3%","100.0%","-31.0%","2.4","569","0.1",""
"2021-11-15","2021-11-18","1,004","606","53.7%","7.0%","19.5%","26.5%","16.0%","21.3%","33.4%","54.7%","2.9%","100.0%","-28.2%","2.4","588","0.1",""
"2021-04-19","2021-04-22","1,004","603","54.5%","3.0%","13.1%","16.1%","19.5%","24.6%","37.9%","62.4%","2.0%","100.0%","-46.4%","2.2","591","0.1",""
"2020-11-23","2020-11-26","1,085","524","74.6%","4.9%","13.2%","18.1%","18.0%","19.3%","39.6%","58.9%","5.0%","100.0%","-40.8%","2.2","497","0.1",""
"2020-04-14","2020-04-17","1,005","629","64.5%","5.3%","17.7%","22.9%","13.6%","22.4%","39.8%","62.2%","1.3%","100.0%","-39.3%","2.3","620","0.1",""
"2019-10-24","2019-10-28","519","519","68.3%","4.2%","10.8%","15.0%","10.8%","18.6%","53.3%","71.9%","2.3%","100.0%","-57.0%","1.9","507","0.1",""
"2018-12-17","2018-12-20","1,000","536","60.6%","6.7%","26.4%","33.1%","19.8%","24.6%","21.2%","45.8%","1.3%","100.0%","-12.7%","2.7","529","0.1","@"
"2018-06-14","2018-06-21","1,000","666","59.6%","4.4%","29.3%","33.7%","17.3%","25.6%","21.1%","46.7%","2.3%","100.0%","-13.0%","2.7","650","0.1",""
"2017-12-18","2017-12-19","1,013","652","64.9%","7.7%","31.2%","38.9%","18.8%","22.0%","16.0%","38.0%","4.3%","100.0%","0.9%","2.9","623","0.1",""
"2017-03-16","2017-06-22","2,077","1,143","71.7%","5.4%","23.3%","28.7%","20.7%","27.4%","21.3%","48.7%","1.9%","100.0%","-20.0%","2.6","1,120","0.1",""
"2016-09-19","2016-12-22","2,021","1,209","71.6%","3.6%","22.1%","25.7%","20.8%","29.9%","22.2%","52.1%","1.4%","100.0%","-26.5%","2.5","1,192","0.1",""
