Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.2,..,..,..,..,..,..,59.3,..,..,..,..,..,..,..,..,40.4,..,..,..,..,38.2,..,..,..
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,0.768769979476929,0.923879981040955,0.951129972934723,1.09458994865417,1.02260005474091,1.11731994152069,1.26757001876831,1.40822005271912,1.80833005905151,1.9456399679184,..,..,1.72288000583649,..,..,..,2.1554000377655,1.70773994922638,..,..,2.21141004562378,..,..,..,..,..,..,..,..,..,..,..,..,1.20234000682831,1.19937002658844,..,..,..,..,3.77498006820679,..,3.62226009368896,..,..,8.23068046569824,..,..,..,9.68642044067383,..,10.5625200271606,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.1576805114746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.4488506317139,..,..,..,..,..,..,..,..,..,37.266040802002
Afghanistan,AFG,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,550.189,543.6,537.703,531.856,526.179,520.698,514.339,508.496,502.464,496.613,490.203,483.941,477.325,470.742,464.507,458.609,452.685,446.568,453.421,462.727,456.101,449.554,471.749,465.209,515.459,511.766,448.188,442.407,401.952,390.109,382.051,373.966,362.387,333.348,326.338,319.863,311.9,308.249,316.547,295.841,290.083,284.871,282.338,270.723,264.795,259.868,254.511,247.96,241.256,236.917,231.583,225.563,220.219,214.871,212.215,209.573,204.096,196.522,193.284,190.261,210.053,..
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,601.887,594.812,588.87,583.144,577.178,571.526,565.571,559.967,554.061,548.058,542.163,536.333,530.118,523.162,516.322,509.418,502.722,495.365,536.287,580.634,575.356,570.111,642.693,641.458,762.193,764.443,639.184,637.127,542.567,521.198,510.052,502.877,499.627,393.724,422.588,390.447,381.229,374.88,401.359,357.328,355.447,349.36,331.54,321.913,313.483,310.94,314.837,318.012,305.06,293.605,288.75,282.654,277.057,271.596,274.007,278.424,274.045,311.655,319.849,305.768,318.587,..
Afghanistan,AFG,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,597.832696578365,..,..,..,..,..,..
Albania,ALB,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.4,..,..,39.2,..,..,..,..,26.7,..,..,..,23.2,..,..,..,..,..,..,..,11.3,..,..,..,..
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,13.9081401824951,14.9279098510742,..,..,..,..,..,5.83141994476318,..,..,5.18940019607544,..,5.92611980438232,6.55998992919922,7.02590990066528,7.22121000289917,7.32686996459961,7.73795986175537,8.14828014373779,8.36635971069336,8.85533046722412,9.28732013702393,11.1776103973389,10.6335802078247,10.2028198242188,10.9394502639771,12.6997203826904,13.5501699447632,14.7477703094482,15.5366096496582,15.9046297073364,16.311429977417,16.6572399139404,19.8904399871826,23.1898307800293,26.6371402740479,30.6871299743652,32.0928001403809,33.3855514526367,44.5492515563965,49.8787002563477,59.252010345459,64.6344299316406,65.7829666137695,62.0076217651367,58.3818511962891,57.3752593994141,54.9613304138184,59.7784996032715,57.8131408691406,56.7215309143066
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.7129821777344,..,..,..,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,98.1411514282227,..,..,98.4499969482422
